"rules","support","confidence","coverage","lift","count"
"{JIMMY=1,BARBARA=0,WIN=1} => {SHELDA=0}",0.189542483660131,0.935483870967742,0.202614379084967,1.18288456411624,29
"{ALONSO=0,JIMMY=1,WIN=1} => {SHELDA=0}",0.189542483660131,0.935483870967742,0.202614379084967,1.18288456411624,29
"{YURIKO=0,WIN=1} => {ALONSO=0}",0.189542483660131,0.935483870967742,0.202614379084967,1.00795093139482,29
"{STEEVE=0,YURIKO=1,WIN=1} => {ALONSO=0}",0.189542483660131,0.935483870967742,0.202614379084967,1.00795093139482,29
"{FRANCOIS=0,WIN=1} => {ALONSO=0}",0.281045751633987,0.934782608695652,0.300653594771242,1.00719534598898,43
"{RICK=0,WIN=1} => {ALONSO=0}",0.274509803921569,0.933333333333333,0.294117647058824,1.0056338028169,42
"{FRANCOIS=0,YURIKO=1,WIN=1} => {ALONSO=0}",0.183006535947712,0.933333333333333,0.196078431372549,1.0056338028169,28
"{STEEVE=0,YURIKO=1,SHELDA=0,WIN=1} => {ALONSO=0}",0.183006535947712,0.933333333333333,0.196078431372549,1.0056338028169,28
"{RICK=0,YURIKO=1,WIN=1} => {ALONSO=0}",0.176470588235294,0.931034482758621,0.189542483660131,1.00315687226809,27
"{RICK=0,BARBARA=0,WIN=1} => {ALONSO=0}",0.176470588235294,0.931034482758621,0.189542483660131,1.00315687226809,27
"{FRANCOIS=0,YURIKO=1,SHELDA=0,WIN=1} => {ALONSO=0}",0.176470588235294,0.931034482758621,0.189542483660131,1.00315687226809,27
"{RICK=0,YURIKO=1,SHELDA=0,WIN=1} => {ALONSO=0}",0.176470588235294,0.931034482758621,0.189542483660131,1.00315687226809,27
"{SHELDA=0,WIN=1} => {ALONSO=0}",0.34640522875817,0.929824561403509,0.372549019607843,1.00185322461082,53
"{FRANCOIS=0,RICK=0,WIN=1} => {SHELDA=0}",0.169934640522876,0.928571428571429,0.183006535947712,1.1741440377804,26
"{ALONSO=0,JIMMY=1,BARBARA=0,WIN=1} => {SHELDA=0}",0.169934640522876,0.928571428571429,0.183006535947712,1.1741440377804,26
"{FRANCOIS=0,RICK=0,WIN=1} => {ALONSO=0}",0.169934640522876,0.928571428571429,0.183006535947712,1.00050301810865,26
"{STEEVE=0,JIMMY=1,WIN=1} => {SHELDA=0}",0.163398692810458,0.925925925925926,0.176470588235294,1.17079889807163,25
"{BARBARA=0,SHELDA=0,WIN=1} => {ALONSO=0}",0.241830065359477,0.925,0.261437908496732,0.996654929577465,37
"{STEEVE=0,WIN=1} => {ALONSO=0}",0.320261437908497,0.924528301886792,0.34640522875817,0.996146691469572,49
"{FRANCOIS=0,ALONSO=0,RICK=0,WIN=1} => {SHELDA=0}",0.156862745098039,0.923076923076923,0.169934640522876,1.16719643992371,24
"{FRANCOIS=0,SHELDA=0,WIN=1} => {ALONSO=0}",0.235294117647059,0.923076923076923,0.254901960784314,0.994582881906826,36
"{FRANCOIS=0,BARBARA=0,SHELDA=0,WIN=1} => {ALONSO=0}",0.156862745098039,0.923076923076923,0.169934640522876,0.994582881906826,24
"{FRANCOIS=0,RICK=0,SHELDA=0,WIN=1} => {ALONSO=0}",0.156862745098039,0.923076923076923,0.169934640522876,0.994582881906826,24
"{RICK=0,SHELDA=0,WIN=1} => {ALONSO=0}",0.228758169934641,0.921052631578947,0.248366013071895,0.992401779095626,35
"{JIMMY=1,RICK=0,WIN=1} => {SHELDA=0}",0.150326797385621,0.92,0.163398692810457,1.16330578512397,23
"{FRANCOIS=0,JIMMY=1,WIN=1} => {ALONSO=0}",0.150326797385621,0.92,0.163398692810457,0.991267605633803,23
"{JIMMY=1,RICK=0,WIN=1} => {ALONSO=0}",0.150326797385621,0.92,0.163398692810457,0.991267605633803,23
"{RICK=0,BARBARA=0,SHELDA=0,WIN=1} => {ALONSO=0}",0.150326797385621,0.92,0.163398692810457,0.991267605633803,23
"{JIMMY=1,RICK=0,BARBARA=0,WIN=1} => {SHELDA=0}",0.143790849673203,0.916666666666667,0.156862745098039,1.15909090909091,22
"{STEEVE=0,JIMMY=1,BARBARA=0,WIN=1} => {SHELDA=0}",0.143790849673203,0.916666666666667,0.156862745098039,1.15909090909091,22
"{STEEVE=0,ALONSO=0,JIMMY=1,WIN=1} => {SHELDA=0}",0.143790849673203,0.916666666666667,0.156862745098039,1.15909090909091,22
"{FRANCOIS=0,JIMMY=1,SHELDA=0,WIN=1} => {ALONSO=0}",0.143790849673203,0.916666666666667,0.156862745098039,0.987676056338028,22
"{JIMMY=1,RICK=0,BARBARA=0,WIN=1} => {ALONSO=0}",0.143790849673203,0.916666666666667,0.156862745098039,0.987676056338028,22
"{STEEVE=0,RICK=0,YURIKO=1,WIN=1} => {ALONSO=0}",0.143790849673203,0.916666666666667,0.156862745098039,0.987676056338028,22
"{STEEVE=0,RICK=0,YURIKO=1,SHELDA=0,WIN=1} => {ALONSO=0}",0.143790849673203,0.916666666666667,0.156862745098039,0.987676056338028,22
"{STEEVE=0,BARBARA=0,WIN=1} => {ALONSO=0}",0.209150326797386,0.914285714285714,0.228758169934641,0.985110663983903,32
"{ALONSO=0,JIMMY=1,RICK=0,WIN=1} => {SHELDA=0}",0.137254901960784,0.91304347826087,0.150326797385621,1.15450952209845,21
